rank,score,can_id,message,signal,unit,step_time_s,step,matched,change_time_s,offset_s,before,after
15,13.303,0x401,BMS_brickVoltages,BMS_brick100,V,30.000,坐入驾驶位并关闭驾驶门,yes,30.082100,+0.082100,3.284,3.2839
15,13.303,0x401,BMS_brickVoltages,BMS_brick100,V,40.000,踩下制动踏板5秒,yes,41.082300,+1.082300,3.284,3.2836
15,13.303,0x401,BMS_brickVoltages,BMS_brick100,V,45.000,松开制动踏板,yes,45.082100,+0.082100,3.2837,3.2836
16,13.225,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_leftControllerCurrent,A,20.000,打开驾驶门,yes,19.245100,-0.754900,1.2,1
16,13.225,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_leftControllerCurrent,A,30.000,坐入驾驶位并关闭驾驶门,yes,30.645800,+0.645800,1.2,1.5
16,13.225,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_leftControllerCurrent,A,40.000,踩下制动踏板5秒,yes,40.147000,+0.147000,1.2,2.9
16,13.225,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_leftControllerCurrent,A,45.000,松开制动踏板,yes,45.847100,+0.847100,3.2,1.7
17,13.217,0x4E2,VCLEFT_seatStatus,VCLEFT_lumbarBPressureHpa,,20.000,打开驾驶门,yes,21.265200,+1.265200,28677,28678
17,13.217,0x4E2,VCLEFT_seatStatus,VCLEFT_lumbarBPressureHpa,,30.000,坐入驾驶位并关闭驾驶门,yes,30.065800,+0.065800,49165,49164
17,13.217,0x4E2,VCLEFT_seatStatus,VCLEFT_lumbarBPressureHpa,,40.000,踩下制动踏板5秒,yes,40.467100,+0.467100,49164,59408
17,13.217,0x4E2,VCLEFT_seatStatus,VCLEFT_lumbarBPressureHpa,,45.000,松开制动踏板,yes,45.267800,+0.267800,59407,49164
18,13.207,0x4E2,VCLEFT_seatStatus,VCLEFT_lumbarAPressureHpa,,20.000,打开驾驶门,yes,21.265200,+1.265200,33152,384
18,13.207,0x4E2,VCLEFT_seatStatus,VCLEFT_lumbarAPressureHpa,,30.000,坐入驾驶位并关闭驾驶门,yes,30.065800,+0.065800,384,33152
18,13.207,0x4E2,VCLEFT_seatStatus,VCLEFT_lumbarAPressureHpa,,40.000,踩下制动踏板5秒,yes,39.666400,-0.333600,384,33152
18,13.207,0x4E2,VCLEFT_seatStatus,VCLEFT_lumbarAPressureHpa,,45.000,松开制动踏板,yes,45.267800,+0.267800,33472,544
19,13.194,0x401,BMS_brickVoltages,BMS_brick15,V,20.000,打开驾驶门,yes,19.521000,-0.479000,3.284,3.2839
19,13.194,0x401,BMS_brickVoltages,BMS_brick15,V,30.000,坐入驾驶位并关闭驾驶门,yes,30.521300,+0.521300,3.2838,3.2839
19,13.194,0x401,BMS_brickVoltages,BMS_brick15,V,40.000,踩下制动踏板5秒,yes,39.521900,-0.478100,3.2839,3.2838
19,13.194,0x401,BMS_brickVoltages,BMS_brick15,V,45.000,松开制动踏板,yes,44.521600,-0.478400,3.2835,3.2836
20,13.194,0x401,BMS_brickVoltages,BMS_brick92,V,20.000,打开驾驶门,yes,20.021500,+0.021500,3.2846,3.2847
20,13.194,0x401,BMS_brickVoltages,BMS_brick92,V,30.000,坐入驾驶位并关闭驾驶门,yes,30.021800,+0.021800,3.2846,3.2845
20,13.194,0x401,BMS_brickVoltages,BMS_brick92,V,40.000,踩下制动踏板5秒,yes,41.022200,+1.022200,3.2845,3.2841
20,13.194,0x401,BMS_brickVoltages,BMS_brick92,V,45.000,松开制动踏板,yes,45.022300,+0.022300,3.2841,3.2842
21,13.188,0x332,BMS_bmbMinMax,BMS_brickNumVoltageMax,,20.000,打开驾驶门,yes,20.412000,+0.412000,78,103
21,13.188,0x332,BMS_bmbMinMax,BMS_brickNumVoltageMax,,30.000,坐入驾驶位并关闭驾驶门,yes,30.412200,+0.412200,103,105
21,13.188,0x332,BMS_bmbMinMax,BMS_brickNumVoltageMax,,40.000,踩下制动踏板5秒,yes,40.412500,+0.412500,103,9
21,13.188,0x332,BMS_bmbMinMax,BMS_brickNumVoltageMax,,45.000,松开制动踏板,yes,44.412500,-0.587500,103,105
22,13.175,0x401,BMS_brickVoltages,BMS_brick13,V,20.000,打开驾驶门,yes,19.501000,-0.499000,3.2847,3.2846
22,13.175,0x401,BMS_brickVoltages,BMS_brick13,V,30.000,坐入驾驶位并关闭驾驶门,yes,29.501200,-0.498800,3.2845,3.2846
22,13.175,0x401,BMS_brickVoltages,BMS_brick13,V,40.000,踩下制动踏板5秒,yes,39.501400,-0.498600,3.2845,3.2846
22,13.175,0x401,BMS_brickVoltages,BMS_brick13,V,45.000,松开制动踏板,yes,44.501600,-0.498400,3.2843,3.2842
23,13.165,0x401,BMS_brickVoltages,BMS_brick51,V,20.000,打开驾驶门,yes,21.761500,+1.761500,3.2845,3.2844
23,13.165,0x401,BMS_brickVoltages,BMS_brick51,V,30.000,坐入驾驶位并关闭驾驶门,yes,29.762000,-0.238000,3.2843,3.2844
23,13.165,0x401,BMS_brickVoltages,BMS_brick51,V,40.000,踩下制动踏板5秒,yes,40.761700,+0.761700,3.2844,3.2839
23,13.165,0x401,BMS_brickVoltages,BMS_brick51,V,45.000,松开制动踏板,yes,43.761900,-1.238100,3.284,3.2841
24,13.123,0x401,BMS_brickVoltages,BMS_brick53,V,20.000,打开驾驶门,yes,20.762200,+0.762200,3.2832,3.2833
24,13.123,0x401,BMS_brickVoltages,BMS_brick53,V,30.000,坐入驾驶位并关闭驾驶门,yes,31.761800,+1.761800,3.2832,3.2833
24,13.123,0x401,BMS_brickVoltages,BMS_brick53,V,40.000,踩下制动踏板5秒,yes,39.761700,-0.238300,3.2833,3.2832
24,13.123,0x401,BMS_brickVoltages,BMS_brick53,V,45.000,松开制动踏板,yes,44.762500,-0.237500,3.2828,3.2829
