rank,score,category,can_id,dlc,byte,bit_in_byte,closed_value,open_value,stable_purity,action_hits,unrelated_transitions,median_delay_s
111,38.800,瞬时请求候选,0x300,8,2,6,0,0,0.6750,6,46,-0.244050
112,38.800,瞬时请求候选,0x300,8,4,5,不一致,1,0.5500,6,46,-0.244150
113,38.800,瞬时请求候选,0x300,8,4,7,0,0,0.6500,6,46,-0.244000
114,38.800,瞬时请求候选,0x300,8,5,0,0,0,0.6500,6,46,-0.244000
115,38.800,瞬时请求候选,0x300,8,6,1,1,1,0.7000,6,46,-0.244150
116,38.800,瞬时请求候选,0x300,8,7,2,0,0,0.6500,6,46,-0.244000
117,38.800,瞬时请求候选,0x300,8,7,5,0,0,0.6500,6,46,-0.244000
118,38.800,瞬时请求候选,0x300,8,7,6,不一致,1,0.5500,6,46,-0.244150
119,38.800,瞬时请求候选,0x301,8,0,1,不一致,1,0.5500,6,46,0.542800
120,38.800,瞬时请求候选,0x302,8,0,1,不一致,1,0.5500,6,46,0.563700
121,38.800,瞬时请求候选,0x303,8,0,1,不一致,1,0.5500,6,46,0.635600
122,38.800,瞬时请求候选,0x3F2,8,1,7,1,1,0.6500,6,46,-0.242950
123,38.800,瞬时请求候选,0x3F2,8,2,7,1,1,0.6000,6,46,-0.242350
124,38.600,瞬时请求候选,0x300,8,4,0,1,不一致,0.5750,6,47,0.255700
125,38.600,瞬时请求候选,0x300,8,5,1,0,0,0.6750,6,47,0.255700
126,38.600,瞬时请求候选,0x300,8,6,4,0,0,0.6750,6,47,0.255700
127,38.600,瞬时请求候选,0x300,8,6,5,0,0,0.6750,6,47,0.255700
128,38.600,瞬时请求候选,0x300,8,7,1,0,0,0.6750,6,47,0.255700
129,38.600,瞬时请求候选,0x3F2,8,2,3,1,1,0.5500,6,47,-0.242950
130,38.400,瞬时请求候选,0x3DD,8,0,4,1,不一致,0.5750,6,48,0.589850
131,38.400,瞬时请求候选,0x3DD,8,1,6,不一致,不一致,0.5500,6,48,0.589300
132,38.400,瞬时请求候选,0x3DD,8,5,6,0,0,0.6500,6,48,0.589300
133,38.400,瞬时请求候选,0x3DD,8,5,7,0,0,0.6500,6,48,0.588750
134,38.200,瞬时请求候选,0x3C9,8,1,0,0,0,0.6500,6,49,0.222350
135,38.200,瞬时请求候选,0x3C9,8,2,0,0,0,0.6500,6,49,0.222350
136,38.200,瞬时请求候选,0x3C9,8,2,1,0,0,0.6500,6,49,0.222350
137,38.200,瞬时请求候选,0x3C9,8,2,4,0,0,0.6500,6,49,0.222350
