profile,role,score,can_id,byte,bit_in_byte,dbc_message,activity_enrichment,event_coverage,event_hits,event_total,inside_transitions,outside_transitions,period_cv
window,按钮事件:上升触发,66.174,0x545,1,3,EXP_windowMotionFeedback_LEFT,5.784222203138277,1.0,3,3,22,104,6.1704401509690765
window,按钮事件:手动上升触发,66.152,0x330,6,3,,3.369243892662051,1.0,2,2,2,24,0.509741957288239
window,按钮事件:上升触发,66.030,0x2C2,4,7,EXP_leftWindowExecutionPosition,4.826411925105893,1.0,3,3,18,102,4.217924985357901
window,按钮事件:手动上升触发,65.969,0x302,1,5,,4.661017117490255,1.0,2,2,2,17,0.6923424067718927
window,按钮事件:手动上升触发,65.571,0x301,1,5,,4.661017117490255,1.0,2,2,2,17,0.6923051947632024
window,按钮事件:上升触发,65.443,0x545,1,2,EXP_windowMotionFeedback_LEFT,4.803075952614515,1.0,3,3,20,114,4.527856929481779
window,按钮事件:手动上升触发,65.214,0x303,2,5,,4.661017117490255,1.0,2,2,2,17,0.8461520055448547
window,按钮事件:手动上升触发,65.214,0x302,1,7,,4.661017117490255,1.0,2,2,2,17,0.84618685110342
window,按钮事件:手动上升松开,65.214,0x3F2,4,6,,3.1551744909324255,1.0,2,2,3,39,0.6774652251089613
window,按钮事件:手动上升触发,65.212,0x301,2,5,,4.661017117490255,1.0,2,2,2,17,0.8461500336690839
window,按钮事件:手动上升触发,65.212,0x301,2,6,,4.661017117490255,1.0,2,2,2,17,0.8461500336690839
window,按钮事件:手动上升触发,65.212,0x301,2,7,,4.661017117490255,1.0,2,2,2,17,0.8461500336690839
window,按钮事件:手动上升松开,65.201,0x300,1,3,,3.1551744909324255,1.0,2,2,3,39,0.6774775048062402
window,按钮事件:手动上升松开,65.201,0x300,1,4,,3.1551744909324255,1.0,2,2,3,39,0.6774775048062402
window,按钮事件:手动上升松开,65.201,0x300,1,5,,3.1551744909324255,1.0,2,2,3,39,0.6774775048062402
window,按钮事件:手动上升松开,65.201,0x300,1,6,,3.1551744909324255,1.0,2,2,3,39,0.6774775048062402
window,按钮事件:手动上升松开,65.201,0x300,2,1,,3.1551744909324255,1.0,2,2,3,39,0.6774775048062402
window,按钮事件:手动上升松开,65.201,0x300,2,7,,3.1551744909324255,1.0,2,2,3,39,0.6774775048062402
window,按钮事件:手动上升松开,65.201,0x300,3,3,,3.1551744909324255,1.0,2,2,3,39,0.6774775048062402
window,按钮事件:手动上升松开,65.201,0x300,3,5,,3.1551744909324255,1.0,2,2,3,39,0.6774775048062402
window,按钮事件:手动上升松开,65.201,0x300,3,7,,3.1551744909324255,1.0,2,2,3,39,0.6774775048062402
window,按钮事件:手动上升松开,65.201,0x300,4,1,,3.1551744909324255,1.0,2,2,3,39,0.6774775048062402
window,按钮事件:手动上升松开,65.201,0x300,6,0,,3.1551744909324255,1.0,2,2,3,39,0.6774775048062402
window,按钮事件:手动上升松开,65.201,0x300,6,6,,3.1551744909324255,1.0,2,2,3,39,0.6774775048062402
window,按钮事件:手动下降松开,65.198,0x300,1,1,,3.1551744909324255,1.0,2,2,3,39,0.6774818910798878
