session_id,can_id,field,expected_on_direction,on_event_s,on_transition_s,on_before,on_after,on_direction_match,on_delay_s,expected_off_direction,off_event_s,off_transition_s,off_before,off_after,off_direction_match,off_delay_s,total_full_session_transitions
S0016,0x20C,B1.b4,0->1,60.085494,60.2077,0,1,True,0.122206,1->0,160.084906,160.2146,1,0,True,0.129694,2
S0016,0x20C,B4.b1,0->1,60.085494,61.1079,0,1,True,1.022406,1->0,160.084906,160.1146,1,0,True,0.029694,2
S0016,0x20C,B4.b2,0->1,60.085494,60.2077,0,1,True,0.122206,1->0,160.084906,160.1146,1,0,True,0.029694,10
S0016,0x20C,B4.b3,0->1,60.085494,60.2077,0,1,True,0.122206,1->0,160.084906,160.1146,1,0,True,0.029694,6
S0016,0x20C,B5.b0,0->1,60.085494,60.9078,0,1,True,0.822306,1->0,160.084906,160.1146,1,0,True,0.029694,2
S0016,0x20C,B6.b4,0->1,60.085494,60.1078,0,1,True,0.022306,1->0,160.084906,160.1146,1,0,True,0.029694,2
S0016,0x20C,B6.b5,0->1,60.085494,60.1078,0,1,True,0.022306,1->0,160.084906,160.1146,1,0,True,0.029694,2
S0016,0x20C,B7.b1,0->1,60.085494,60.9078,0,1,True,0.822306,1->0,160.084906,160.6146,1,0,True,0.529694,10
S0016,0x20C,B7.b2,0->1,60.085494,61.1079,0,1,True,1.022406,1->0,160.084906,160.7147,1,0,True,0.629794,6
S0016,0x20C,B7.b3,0->1,60.085494,61.7078,0,1,True,1.622306,1->0,160.084906,160.8147,1,0,True,0.729794,2
S0016,0x253,B7.b4,1->0,60.085494,60.3311,1,0,True,0.245606,0->1,160.084906,160.2258,0,1,True,0.140894,2
S0016,0x282,B0.b2,0->1,60.085494,60.3075,0,1,True,0.222006,1->0,160.084906,160.3142,1,0,True,0.229294,2
S0016,0x282,B0.b5,0->1,60.085494,60.9076,0,1,True,0.822106,1->0,160.084906,160.5142,1,0,True,0.429294,6
S0016,0x282,B0.b6,0->1,60.085494,61.7075,0,1,True,1.622006,1->0,160.084906,160.6142,1,0,True,0.529294,2
S0016,0x282,B1.b2,0->1,60.085494,61.3084,0,1,True,1.222906,1->0,160.084906,160.3142,1,0,True,0.229294,2
S0016,0x282,B1.b3,0->1,60.085494,60.4074,0,1,True,0.321906,1->0,160.084906,160.3142,1,0,True,0.229294,10
S0016,0x282,B1.b4,0->1,60.085494,60.4074,0,1,True,0.321906,1->0,160.084906,160.3142,1,0,True,0.229294,6
S0016,0x282,B2.b1,0->1,60.085494,61.1083,0,1,True,1.022806,1->0,160.084906,160.3142,1,0,True,0.229294,2
S0016,0x282,B2.b4,0->1,60.085494,60.6074,0,1,True,0.521906,1->0,160.084906,160.6142,1,0,True,0.529294,20
S0016,0x282,B2.b5,0->1,60.085494,60.6074,0,1,True,0.521906,1->0,160.084906,160.5142,1,0,True,0.429294,24
S0016,0x282,B2.b6,0->1,60.085494,60.8075,0,1,True,0.722006,1->0,160.084906,160.7142,1,0,True,0.629294,18
