profile,role,score,can_id,byte,bit_in_byte,dbc_message,activity_enrichment,event_coverage,event_hits,event_total,inside_transitions,outside_transitions,period_cv
generic-event,事件附近变化,73.362,0x23E,4,7,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
window,按钮事件:手动未知方向松开,73.362,0x23E,4,7,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
generic-event,事件附近变化,73.362,0x23E,5,0,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
window,按钮事件:手动未知方向松开,73.362,0x23E,5,0,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
generic-event,事件附近变化,73.362,0x23E,5,6,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
window,按钮事件:手动未知方向松开,73.362,0x23E,5,6,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
generic-event,事件附近变化,73.362,0x23E,5,7,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
window,按钮事件:手动未知方向松开,73.362,0x23E,5,7,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
generic-event,事件附近变化,73.362,0x23E,6,3,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
window,按钮事件:手动未知方向松开,73.362,0x23E,6,3,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
generic-event,事件附近变化,73.226,0x1D8,3,0,DIS_torque,5.063455951262437,1.0,2,2,61,377,9.70953011780923
window,按钮事件:手动未知方向松开,73.226,0x1D8,3,0,DIS_torque,5.063455951262437,1.0,2,2,61,377,9.70953011780923
generic-event,事件附近变化,73.216,0x4F,0,7,UI_locationStatus,7.753990897987026,1.0,2,2,2,7,1.265883225280766
window,按钮事件:手动未知方向松开,73.216,0x4F,0,7,UI_locationStatus,7.753990897987026,1.0,2,2,2,7,1.265883225280766
generic-event,事件附近变化,73.196,0x1D8,7,0,DIS_torque,5.000976125946528,1.0,2,2,62,388,8.674086080802349
window,按钮事件:手动未知方向松开,73.196,0x1D8,7,0,DIS_torque,5.000976125946528,1.0,2,2,62,388,8.674086080802349
generic-event,事件附近变化,73.171,0x2D7,1,4,,5.963971700529055,1.0,2,2,4,20,1.8935698512304737
window,按钮事件:手动未知方向松开,73.171,0x2D7,1,4,,5.963971700529055,1.0,2,2,4,20,1.8935698512304737
generic-event,事件附近变化,73.127,0x383,7,0,VCRIGHT_thsStatus,7.753990897987026,1.0,2,2,2,7,1.5543344204020717
window,按钮事件:手动未知方向松开,73.127,0x383,7,0,VCRIGHT_thsStatus,7.753990897987026,1.0,2,2,2,7,1.5543344204020717
generic-event,事件附近变化,73.125,0x1D8,1,2,DIS_torque,4.792424339113128,1.0,2,2,95,621,10.65119740567086
window,按钮事件:手动未知方向松开,73.125,0x1D8,1,2,DIS_torque,4.792424339113128,1.0,2,2,95,621,10.65119740567086
generic-event,事件附近变化,72.996,0x4F,4,2,UI_locationStatus,7.753990897987026,1.0,2,2,2,7,1.327764680698379
window,按钮事件:手动未知方向松开,72.996,0x4F,4,2,UI_locationStatus,7.753990897987026,1.0,2,2,2,7,1.327764680698379
generic-event,事件附近变化,72.963,0x126,1,6,DI_hvBusStatus,4.886717909192776,1.0,2,2,19,121,5.591639551521911
window,按钮事件:手动未知方向松开,72.963,0x126,1,6,DI_hvBusStatus,4.886717909192776,1.0,2,2,19,121,5.591639551521911
