signal,time_s,value
BMS_packVoltage,4.1516,347.14
BMS_packVoltage,4.1617,347.18
BMS_packVoltage,4.1716,347.14
BMS_packVoltage,4.1817,347.16
BMS_packVoltage,4.1916,347.05
BMS_packVoltage,4.2016,347.09000000000003
BMS_packVoltage,4.2116,347.03000000000003
BMS_packVoltage,4.2216,347.3
BMS_packVoltage,4.2316,347.15000000000003
BMS_packVoltage,4.2416,347.19
BMS_packVoltage,4.2516,347.19
BMS_packVoltage,4.2616,347.28000000000003
BMS_packVoltage,4.2716,347.17
BMS_packVoltage,4.2818,347.2
BMS_packVoltage,4.2916,347.05
BMS_packVoltage,4.3016,347.24
BMS_packVoltage,4.3116,347.17
BMS_packVoltage,4.3216,347.15000000000003
BMS_packVoltage,4.3316,347.22
BMS_packVoltage,4.3416,347.12
BMS_packVoltage,4.3516,347.21
BMS_packVoltage,4.3618,347.1
BMS_packVoltage,4.3716,347.0
BMS_packVoltage,4.3818,347.11
BMS_packVoltage,4.3916,347.27
BMS_packVoltage,4.4016,347.25
BMS_packVoltage,4.4116,347.15000000000003
BMS_packVoltage,4.4216,347.17
BMS_packVoltage,4.4316,347.11
BMS_packVoltage,4.4418,347.25
BMS_packVoltage,4.4516,346.95
BMS_packVoltage,4.4617,347.24
BMS_packVoltage,4.4716,347.06
BMS_packVoltage,4.4817,347.05
BMS_packVoltage,4.4919,347.11
BMS_packVoltage,4.5018,347.18
BMS_packVoltage,4.5116,347.1
BMS_packVoltage,4.5216,347.09000000000003
BMS_packVoltage,4.5316,347.23
BMS_packVoltage,4.5416,347.19
BMS_packVoltage,4.5516,347.19
BMS_packVoltage,4.5617,347.2
BMS_packVoltage,4.5716,347.09000000000003
BMS_packVoltage,4.5819,347.03000000000003
BMS_packVoltage,4.5916,347.16
BMS_packVoltage,4.6016,347.01
BMS_packVoltage,4.6116,347.21
BMS_packVoltage,4.6216,347.14
BMS_packVoltage,4.6316,347.1
BMS_packVoltage,4.6416,347.08
BMS_packVoltage,4.6516,347.18
BMS_packVoltage,4.6616,347.01
BMS_packVoltage,4.6716,347.08
BMS_packVoltage,4.6819,347.08
BMS_packVoltage,4.6916,347.23
BMS_packVoltage,4.7016,347.22
BMS_packVoltage,4.7116,347.18
BMS_packVoltage,4.7216,347.03000000000003
BMS_packVoltage,4.7316,347.14
BMS_packVoltage,4.7416,347.13
BMS_packVoltage,4.7516,347.09000000000003
BMS_packVoltage,4.7618,347.0
BMS_packVoltage,4.7716,347.2
BMS_packVoltage,4.7819,347.03000000000003
BMS_packVoltage,4.7916,347.11
BMS_packVoltage,4.8016,347.15000000000003
BMS_packVoltage,4.8116,347.11
BMS_packVoltage,4.8216,347.0
BMS_packVoltage,4.8316,347.15000000000003
BMS_packVoltage,4.8416,347.19
BMS_packVoltage,4.8516,347.17
BMS_packVoltage,4.8616,347.1
BMS_packVoltage,4.8716,347.19
BMS_packVoltage,4.8816,347.18
BMS_packVoltage,4.8918,347.13
BMS_packVoltage,4.9016,347.13
BMS_packVoltage,4.9117,347.1
BMS_packVoltage,4.9216,347.17
BMS_packVoltage,4.9316,347.14
BMS_packVoltage,4.9417,347.17
BMS_packVoltage,4.9516,347.15000000000003
BMS_packVoltage,4.9618,347.09000000000003
BMS_packVoltage,4.9718,347.14
BMS_packVoltage,4.9818,347.2
BMS_packVoltage,4.9916,347.14
BMS_packVoltage,5.0016,347.09000000000003
BMS_packVoltage,5.0116,347.22
BMS_packVoltage,5.0216,347.12
BMS_packVoltage,5.0316,347.21
BMS_packVoltage,5.0416,347.09000000000003
BMS_packVoltage,5.0516,347.07
BMS_packVoltage,5.0616,346.98
BMS_packVoltage,5.0716,347.13
BMS_packVoltage,5.0818,347.14
BMS_packVoltage,5.0916,347.15000000000003
BMS_packVoltage,5.1016,347.28000000000003
BMS_packVoltage,5.1117,347.16
BMS_packVoltage,5.1216,347.16
BMS_packVoltage,5.1316,347.27
BMS_packVoltage,5.1416,347.27
BMS_packVoltage,5.1516,347.11
BMS_packVoltage,5.1618,347.08
BMS_packVoltage,5.1716,347.21
BMS_packVoltage,5.1818,347.16
BMS_packVoltage,5.1916,347.18
BMS_packVoltage,5.2016,347.11
BMS_packVoltage,5.2116,347.1
BMS_packVoltage,5.2216,347.24
