rank,score,can_id,message,signal,unit,step_time_s,step,matched,change_time_s,offset_s,before,after
11,12.279,0x401,BMS_brickVoltages,BMS_brick36,V,40.000,第一次松开制动踏板,yes,40.227000,+0.227000,3.2842,3.2841
11,12.279,0x401,BMS_brickVoltages,BMS_brick36,V,70.000,第二次松开制动踏板,yes,70.228200,+0.228200,3.2841,3.2842
11,12.279,0x401,BMS_brickVoltages,BMS_brick36,V,100.000,第三次松开制动踏板,yes,100.228400,+0.228400,3.284,3.2841
11,12.279,0x401,BMS_brickVoltages,BMS_brick36,V,130.000,第四次松开制动踏板,yes,130.229000,+0.229000,3.284,3.2841
12,12.224,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_EPAS3PTemp,degC,40.000,第一次松开制动踏板,yes,40.634700,+0.634700,38.875,38.75
12,12.224,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_EPAS3PTemp,degC,70.000,第二次松开制动踏板,yes,69.137400,-0.862600,38.75,38.875
12,12.224,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_EPAS3PTemp,degC,100.000,第三次松开制动踏板,yes,99.538700,-0.461300,38.875,38.75
12,12.224,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_EPAS3PTemp,degC,130.000,第四次松开制动踏板,yes,129.939500,-0.060500,38.75,38.875
13,12.209,0x401,BMS_brickVoltages,BMS_brick10,V,40.000,第一次松开制动踏板,yes,40.046800,+0.046800,3.2848,3.2849
13,12.209,0x401,BMS_brickVoltages,BMS_brick10,V,70.000,第二次松开制动踏板,yes,70.048100,+0.048100,3.2848,3.2849
13,12.209,0x401,BMS_brickVoltages,BMS_brick10,V,100.000,第三次松开制动踏板,yes,101.049600,+1.049600,3.2846,3.2847
13,12.209,0x401,BMS_brickVoltages,BMS_brick10,V,130.000,第四次松开制动踏板,yes,130.049400,+0.049400,3.2847,3.2849
14,12.171,0x401,BMS_brickVoltages,BMS_brick8,V,40.000,第一次松开制动踏板,yes,39.026700,-0.973300,3.2849,3.285
14,12.171,0x401,BMS_brickVoltages,BMS_brick8,V,70.000,第二次松开制动踏板,yes,70.027700,+0.027700,3.2849,3.285
14,12.171,0x401,BMS_brickVoltages,BMS_brick8,V,100.000,第三次松开制动踏板,yes,100.028000,+0.028000,3.2848,3.2849
14,12.171,0x401,BMS_brickVoltages,BMS_brick8,V,130.000,第四次松开制动踏板,yes,131.028500,+1.028500,3.2849,3.285
15,12.136,0x401,BMS_brickVoltages,BMS_brick6,V,40.000,第一次松开制动踏板,yes,41.026800,+1.026800,3.2847,3.2848
15,12.136,0x401,BMS_brickVoltages,BMS_brick6,V,70.000,第二次松开制动踏板,yes,70.027700,+0.027700,3.2847,3.2848
15,12.136,0x401,BMS_brickVoltages,BMS_brick6,V,100.000,第三次松开制动踏板,yes,100.028000,+0.028000,3.2846,3.2845
15,12.136,0x401,BMS_brickVoltages,BMS_brick6,V,130.000,第四次松开制动踏板,yes,130.028700,+0.028700,3.2846,3.2847
16,12.134,0x401,BMS_brickVoltages,BMS_brick86,V,40.000,第一次松开制动踏板,yes,39.546500,-0.453500,3.2845,3.2844
16,12.134,0x401,BMS_brickVoltages,BMS_brick86,V,70.000,第二次松开制动踏板,yes,70.547900,+0.547900,3.2844,3.2845
16,12.134,0x401,BMS_brickVoltages,BMS_brick86,V,100.000,第三次松开制动踏板,yes,99.548300,-0.451700,3.2844,3.2843
16,12.134,0x401,BMS_brickVoltages,BMS_brick86,V,130.000,第四次松开制动踏板,yes,130.549000,+0.549000,3.2845,3.2844
17,12.113,0x401,BMS_brickVoltages,BMS_brick42,V,40.000,第一次松开制动踏板,yes,40.266700,+0.266700,3.284,3.2841
17,12.113,0x401,BMS_brickVoltages,BMS_brick42,V,70.000,第二次松开制动踏板,yes,70.267700,+0.267700,3.284,3.2841
17,12.113,0x401,BMS_brickVoltages,BMS_brick42,V,100.000,第三次松开制动踏板,yes,100.267800,+0.267800,3.2839,3.284
17,12.113,0x401,BMS_brickVoltages,BMS_brick42,V,130.000,第四次松开制动踏板,yes,129.268500,-0.731500,3.2841,3.284
18,12.082,0x303,OCS1P_status,OCS1P_statusCounter,,40.000,第一次松开制动踏板,yes,39.991300,-0.008700,2,0
18,12.082,0x303,OCS1P_status,OCS1P_statusCounter,,70.000,第二次松开制动踏板,yes,70.993100,+0.993100,0,10
18,12.082,0x303,OCS1P_status,OCS1P_statusCounter,,100.000,第三次松开制动踏板,yes,99.995300,-0.004700,8,15
18,12.082,0x303,OCS1P_status,OCS1P_statusCounter,,130.000,第四次松开制动踏板,yes,129.997100,-0.002900,15,2
19,12.042,0x303,OCS1P_status,OCS1P_classificationExtHold,,40.000,第一次松开制动踏板,yes,39.991300,-0.008700,1,0
19,12.042,0x303,OCS1P_status,OCS1P_classificationExtHold,,70.000,第二次松开制动踏板,yes,70.993100,+0.993100,0,1
19,12.042,0x303,OCS1P_status,OCS1P_classificationExtHold,,100.000,第三次松开制动踏板,yes,99.995300,-0.004700,0,1
19,12.042,0x303,OCS1P_status,OCS1P_classificationExtHold,,130.000,第四次松开制动踏板,yes,130.997200,+0.997200,1,0
20,12.038,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_leftControllerTemp,degC,40.000,第一次松开制动踏板,yes,40.334600,+0.334600,38.875,39
