time_s,signal_key,value,raw_hex
42.077000,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d c4 00
42.177200,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d bf 00
42.877100,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d c0 00
43.077100,PCS_dcdcHvBusVolt,187.646484375,10 05 d4 0d c4 00
43.277100,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d c1 00
43.377100,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d c3 00
43.877100,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d bd 00
43.976900,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d be 00
44.176800,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d b9 00
44.376800,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d ba 00
44.676900,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d b9 00
44.877000,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d b9 00
44.976800,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d bc 00
45.076900,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d b7 00
45.476900,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d bb 00
45.576900,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d bd 00
46.476900,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d bb 00
46.676900,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d b9 00
47.276800,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d b4 00
47.376700,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d b3 00
47.476900,PCS_dcdcHvBusVolt,178.271484375,10 05 d3 0d ba 00
47.576700,PCS_dcdcHvBusVolt,187.646484375,10 05 d4 0d b3 00
47.776700,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d ba 00
47.876800,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d b8 00
49.676700,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d bc 00
49.776700,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d ba 00
50.076800,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d ba 00
50.176800,PCS_dcdcHvBusVolt,187.646484375,14 05 d4 0d b8 00
50.376800,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d bb 00
50.476800,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d b4 00
50.776800,PCS_dcdcHvBusVolt,178.271484375,10 05 d3 0d b8 00
50.876800,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d b7 00
52.276700,PCS_dcdcHvBusVolt,178.271484375,14 05 d3 0d c1 00
52.376700,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d c2 00
52.576700,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d c3 00
52.776700,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d c0 00
52.976700,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d c1 00
53.076700,PCS_dcdcHvBusVolt,187.646484375,10 05 d4 0d c0 00
53.776800,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d be 00
53.976800,PCS_dcdcHvBusVolt,187.646484375,0f 05 d4 0d ba 00
54.076800,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d be 00
54.176800,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d bc 00
