dbc_source,can_id,message,dbc_dlc,signal,start_bit,bit_length,byte_order,signed,scale,offset,unit,multiplexer_signal,multiplexer_ids,asc_frame_count,asc_dlc
dbc/tesla_model3.dbc,0x212,BMS_status,8,BMS_activeHeatingWorthwhile,5,1,little_endian,False,1,0,,,,2997,8
dbc/tesla_model3.dbc,0x212,BMS_status,8,BMS_contactorState,8,3,little_endian,False,1,0,,,,2997,8
dbc/tesla_model3.dbc,0x212,BMS_status,8,BMS_hvState,16,3,little_endian,False,1,0,,,,2997,8
dbc/tesla_model3.dbc,0x212,BMS_status,8,BMS_chargeRequest,29,1,little_endian,False,1,0,,,,2997,8
dbc/tesla_model3.dbc,0x212,BMS_status,8,BMS_uiChargeStatus,32,3,little_endian,False,1,0,,,,2997,8
dbc/tesla_model3.dbc,0x212,BMS_status,8,BMS_chgPowerAvailable,38,11,little_endian,False,0.125,0,kW,,,2997,8
dbc/tesla_model3.dbc,0x212,BMS_status,8,BMS_minPackTemperature,56,8,little_endian,False,0.5,-40,DegC,,,2997,8
dbc/tesla_model3.dbc,0x312,BMS_thermalStatus,8,BMS_flowRequest,10,7,little_endian,False,0.3,0,LPM,,,599,8
dbc/tesla_model3.dbc,0x312,BMS_thermalStatus,8,BMS_inletActiveCoolTargetT,17,8,little_endian,False,0.25,10,DegC,,,599,8
dbc/tesla_model3.dbc,0x312,BMS_thermalStatus,8,BMS_inletActiveHeatTargetT,33,8,little_endian,False,0.25,-25,DegC,,,599,8
dbc/tesla_model3.dbc,0x21D,CP_evseStatus,8,CP_evseAccept,0,1,little_endian,False,1,0,,,,2997,8
dbc/tesla_model3.dbc,0x21D,CP_evseStatus,8,CP_evseRequest,1,1,little_endian,False,1,0,,,,2997,8
dbc/tesla_model3.dbc,0x21D,CP_evseStatus,8,CP_digitalCommsEstablished,37,1,little_endian,False,1,0,,,,2997,8
dbc/tesla_model3.dbc,0x21D,CP_evseStatus,8,CP_evseChargeType,38,2,little_endian,False,1,0,,,,2997,8
dbc/tesla_model3.dbc,0x21D,CP_evseStatus,8,CP_stopChargeRequest,40,1,little_endian,False,1,0,,,,2997,8
dbc/tesla_model3.dbc,0x21D,CP_evseStatus,8,CP_gbState,48,5,little_endian,False,1,0,,,,2997,8
dbc/tesla_model3.dbc,0x75D,CP_sensorData,8,CP_pinTemperature1,8,8,little_endian,False,0.803922,-55,C,CP_sensorDataSelect,1,1499,8
dbc/tesla_model3.dbc,0x75D,CP_sensorData,8,CP_pinTemperature2,16,8,little_endian,False,0.803922,-55,C,CP_sensorDataSelect,1,1499,8
dbc/tesla_model3.dbc,0x75D,CP_sensorData,8,CP_pinTemperature3,24,8,little_endian,False,0.803922,-55,C,CP_sensorDataSelect,1,1499,8
dbc/tesla_model3.dbc,0x210,CP_status,8,CP_chargeCablePresent,3,1,little_endian,False,1,0,,,,0,
dbc/tesla_model3.dbc,0x210,CP_status,8,CP_chargeCableSecured,4,1,little_endian,False,1,0,,,,0,
dbc/tesla_model3.dbc,0x210,CP_status,8,CP_latchState,5,2,little_endian,False,1,0,,,,0,
dbc/tesla_model3.dbc,0x210,CP_status,8,CP_chargeDoorOpen,10,1,little_endian,False,1,0,,,,0,
dbc/tesla_model3.dbc,0x210,CP_status,8,CP_numAlertsSet,56,7,little_endian,False,1,0,,,,0,
dbc/tesla_model3.dbc,0x118,DI_systemStatus,8,DI_systemState,16,3,little_endian,False,1,0,,,,10683,8
dbc/tesla_model3.dbc,0x118,DI_systemStatus,8,DI_gear,21,3,little_endian,False,1,0,,,,10683,8
dbc/tesla_model3.dbc,0x2C4,PCS_logging,8,PCS_dcdcLvBusVolt,5,10,little_endian,False,0.0390625,0,V,PCS_logMessageSelect,6,2999,8
dbc/tesla_model3.dbc,0x241,VCFRONT_coolant,7,VCFRONT_coolantFlowBatActual,0,9,little_endian,False,0.1,0,LPM,,,2997,7
dbc/tesla_model3.dbc,0x241,VCFRONT_coolant,7,VCFRONT_coolantFlowBatTarget,9,9,little_endian,False,0.1,0,LPM,,,2997,7
dbc/tesla_model3.dbc,0x2C1,VCFRONT_logging10Hz,8,VCFRONT_pumpBatteryRPMActual,3,10,little_endian,False,10,0,rpm,VCFRONT_logging10HzIndex,0,14986,8
dbc/tesla_model3.dbc,0x2C1,VCFRONT_logging10Hz,8,VCFRONT_pumpBatteryRPMTarget,13,10,little_endian,False,10,0,rpm,VCFRONT_logging10HzIndex,0,14986,8
dbc/tesla_model3.dbc,0x2C1,VCFRONT_logging10Hz,8,VCFRONT_compressorState,24,2,little_endian,False,1,0,,VCFRONT_logging10HzIndex,4,14986,8
dbc/tesla_model3.dbc,0x321,VCFRONT_sensors,8,VCFRONT_tempCoolantBatInlet,0,10,little_endian,False,0.125,-40,degC,,,299,8
dbc/tesla_model3.dbc,0x2E1,VCFRONT_status,8,VCFRONT_chillerDemandActive,26,1,little_endian,False,1,0,,VCFRONT_statusIndex,3,18735,8
dbc/tesla_model3_party.dbc,0x118,DI_systemStatus,8,DI_systemState,16,3,little_endian,False,1,0,,,,10683,8
dbc/tesla_model3_party.dbc,0x118,DI_systemStatus,8,DI_gear,21,3,little_endian,False,1,0,,,,10683,8
dbc/tesla_model3_vehicle.dbc,0x118,DI_systemStatus,8,DI_systemState,16,3,little_endian,False,1,0,,,,10683,8
dbc/tesla_model3_vehicle.dbc,0x118,DI_systemStatus,8,DI_gear,21,3,little_endian,False,1,0,,,,10683,8
dbc/tesla_powertrain.dbc,0x116,DI_torque2,6,DI_gear,12,3,little_endian,False,1,0,,,,0,
dbc/tesla_powertrain.dbc,0x256,DI_state,8,DI_systemState,0,3,little_endian,False,1,0,,,,0,
input/tesla_model3_ONYX.dbc,0x281,VCFRONT_compressorRequest,8,VCFRONT_compressorTargetDuty,0,16,little_endian,False,0.1,0,%,,,0,
input/tesla_model3_ONYX.dbc,0x281,VCFRONT_compressorRequest,8,VCFRONT_compressorEnable,40,1,little_endian,False,1,0,,,,0,
input/tesla_model3_ONYX.dbc,0x201,VCFRONT_logging10Hz2,8,VCFRONT_chillerExvFlow,3,10,little_endian,False,0.1,0,%,VCFRONT_logging10Hz2,3,11988,8
input/tesla_model3_ONYX.dbc,0x201,VCFRONT_logging10Hz2,8,VCFRONT_chillerExvFlowTarget,3,10,little_endian,False,0.1,0,%,VCFRONT_logging10Hz2,5,11988,8
input/tesla_model3_ONYX.dbc,0x201,VCFRONT_logging10Hz2,8,VCFRONT_pumpBatteryRPMActual,3,10,little_endian,False,10,0,rpm,VCFRONT_logging10Hz2,0,11988,8
input/tesla_model3_ONYX.dbc,0x201,VCFRONT_logging10Hz2,8,VCFRONT_compressorState,24,2,little_endian,False,1,0,,VCFRONT_logging10Hz2,2,11988,8
input/tesla_model3_ONYX.dbc,0x332,BMS_bmbMinMax,6,BMS_modelTMax,32,8,little_endian,False,0.5,-40,DegC,BMS_bmbMinMaxMultiplexer,0,299,6
input/tesla_model3_ONYX.dbc,0x332,BMS_bmbMinMax,6,BMS_modelTMin,40,8,little_endian,False,0.5,-40,DegC,BMS_bmbMinMaxMultiplexer,0,299,6
input/tesla_model3_ONYX.dbc,0x132,BMS_hvBusStatus,8,BMS_packVoltage,0,16,little_endian,False,0.01,0,V,,,29973,6
input/tesla_model3_ONYX.dbc,0x132,BMS_hvBusStatus,8,BMS_packCurrent,16,15,little_endian,True,-0.1,0,A,,,29973,6
input/tesla_model3_ONYX.dbc,0x292,BMS_socStatus,8,BMS_socUI,10,10,little_endian,False,0.1,0,%,,,2997,8
input/tesla_model3_ONYX.dbc,0x212,BMS_status,8,BMS_hvacPowerRequest,0,1,little_endian,False,1,0,,,,2997,8
input/tesla_model3_ONYX.dbc,0x212,BMS_status,8,BMS_activeHeatingWorthwhile,5,1,little_endian,False,1,0,,,,2997,8
input/tesla_model3_ONYX.dbc,0x212,BMS_status,8,BMS_contactorState,8,3,little_endian,False,1,0,,,,2997,8
input/tesla_model3_ONYX.dbc,0x212,BMS_status,8,BMS_hvState,16,3,little_endian,False,1,0,,,,2997,8
input/tesla_model3_ONYX.dbc,0x212,BMS_status,8,BMS_chargeRequest,29,1,little_endian,False,1,0,,,,2997,8
input/tesla_model3_ONYX.dbc,0x212,BMS_status,8,BMS_uiChargeStatus,32,3,little_endian,False,1,0,,,,2997,8
input/tesla_model3_ONYX.dbc,0x212,BMS_status,8,BMS_chgPowerAvailable,38,11,little_endian,False,0.125,0,kW,,,2997,8
input/tesla_model3_ONYX.dbc,0x212,BMS_status,8,BMS_minPackTemperature,56,8,little_endian,False,0.5,-40,DegC,,,2997,8
input/tesla_model3_ONYX.dbc,0x312,BMS_thermalStatus,8,BMS_flowRequest,10,7,little_endian,False,0.3,0,LPM,,,599,8
input/tesla_model3_ONYX.dbc,0x312,BMS_thermalStatus,8,BMS_inletActiveCoolTargetT,17,9,little_endian,False,0.25,-25,DegC,,,599,8
input/tesla_model3_ONYX.dbc,0x312,BMS_thermalStatus,8,BMS_inletActiveHeatTargetT,35,9,little_endian,False,0.25,-25,DegC,,,599,8
input/tesla_model3_ONYX.dbc,0x13D,CP_chargeStatus,6,CP_hvChargeStatus,0,3,little_endian,False,1,0,,,,0,
input/tesla_model3_ONYX.dbc,0x13D,CP_chargeStatus,6,CP_chargeShutdownRequest,3,2,little_endian,False,1,0,,,,0,
input/tesla_model3_ONYX.dbc,0x13D,CP_chargeStatus,6,CP_evseChargeType,40,2,little_endian,False,1,0,,,,0,
input/tesla_model3_ONYX.dbc,0x21D,CP_evseStatus,8,CP_evseAccept,0,1,little_endian,False,1,0,,,,2997,8
input/tesla_model3_ONYX.dbc,0x21D,CP_evseStatus,8,CP_evseRequest,1,1,little_endian,False,1,0,,,,2997,8
input/tesla_model3_ONYX.dbc,0x21D,CP_evseStatus,8,CP_digitalCommsEstablished,37,1,little_endian,False,1,0,,,,2997,8
input/tesla_model3_ONYX.dbc,0x21D,CP_evseStatus,8,CP_evseChargeType,38,2,little_endian,False,1,0,,,,2997,8
input/tesla_model3_ONYX.dbc,0x21D,CP_evseStatus,8,CP_stopChargeRequest,40,1,little_endian,False,1,0,,,,2997,8
input/tesla_model3_ONYX.dbc,0x21D,CP_evseStatus,8,CP_gbState,48,5,little_endian,False,1,0,,,,2997,8
input/tesla_model3_ONYX.dbc,0x75D,CP_sensorData,8,CP_pinTemperature1,8,8,little_endian,False,0.8039215686,-55,C,CP_sensorDataSelect,1,1499,8
